,embedding0,embedding1,embedding2
251,0.07121344,0.42377144,0.009075813
252,0.28167483,0.7547425,0.12725611
253,-0.027973324,0.32133323,0.07658365
254,0.3485869,0.79757553,0.12254754
255,0.17897862,0.591093,0.14374451
256,0.024731636,0.2863494,0.065008625
257,0.12839082,0.50906104,0.01599972
258,0.18462758,0.39062488,-0.04120758
259,0.16481686,0.61904263,0.11589071
260,0.24067873,0.6117403,0.048824295
261,-0.0334723,0.29350027,0.05436811
262,0.2403965,0.72819656,0.11267461
263,0.14238715,0.52080464,0.09782386
264,0.101278335,0.56551856,0.14716455
265,0.1549026,0.79558414,0.23257658
266,0.07045109,0.14356607,-0.04259211
267,0.15897368,0.4535758,-0.003873244
268,0.10863951,0.5050464,0.1288791
269,0.1773183,0.56920624,0.06504387
270,0.15202859,0.6110869,0.13221769
271,0.035034776,0.29621443,0.010158353
272,0.24699822,0.72409636,0.13391186
273,0.18492979,0.46918935,0.034950286
274,0.09493032,0.40554067,0.021635368
275,0.027803361,0.4248658,0.115727544
276,0.25939724,0.66664225,0.1310135
277,0.23291942,0.73039323,0.1276297
278,0.25187477,0.7302408,0.09845711
279,0.11419727,0.31853396,-0.062264353
280,0.21411455,0.6608831,0.11114675
281,0.09363732,0.43264225,0.013125464
282,0.16555594,0.46722916,0.016825832
283,-0.024502099,0.3313374,0.08732116
284,0.107147604,0.39694962,0.020415276
285,0.103577286,0.41196364,0.0507524
286,0.08806181,0.45763627,0.11289179
287,0.04463917,0.42110106,0.06846094
288,0.029415458,0.3473465,0.04886049
289,0.1869357,0.72602576,0.17705083
290,0.39135396,0.68136084,0.027895764
291,0.27628082,0.5827317,0.076495156
292,0.27017033,0.5741723,-0.0052446723
293,0.123562366,0.527212,0.09618977
294,0.060275108,0.4508821,0.07445246
295,0.08750191,0.38046885,0.013973713
296,0.12152809,0.37779218,0.02442944
297,0.28688517,0.74160355,0.15457946
298,0.12158975,0.50786585,0.034773275
299,0.12483357,0.33568758,0.02864556
300,0.23233941,0.7390912,0.15090492
301,0.28435603,0.5392499,-0.0066411346
302,0.12768805,0.5496184,0.12994844
303,0.28461704,0.8125479,0.12888208
304,0.27740127,0.5895608,0.025278345
305,-0.0053198338,0.32747638,0.08837277
306,0.14162856,0.26564124,-0.0060404167
307,0.28632024,0.66507006,0.10722709
308,0.223488,0.704541,0.14431658
309,0.14015281,0.56538254,0.16234076
310,0.18342999,0.59224373,0.074931845
311,0.13152982,0.33923614,0.01944676
312,0.13730848,0.598207,0.17659193
313,0.1376263,0.22130187,-0.0479222
314,0.23925051,0.50297093,-0.0023170337
315,0.052293956,0.49549058,0.07730222
316,0.009322569,0.20979176,0.0021153614
317,0.204661,0.50306326,-0.018580422
318,0.047095835,0.36413187,0.014244124
319,0.035727024,0.31440213,-0.0036502779
320,0.124777615,0.54741615,0.04374987
321,0.028449297,0.38626778,0.08355549
322,0.13757008,0.5042138,0.050842196
323,0.10652134,0.4742674,0.03779334
324,0.14718653,0.42866096,0.0074950606
